type,array_length,time,try
seq_mul_reduce,3001000,0.0226367190,3
simd_mul_reduce,3001000,0.0015679680,3
seq_mul,3001000,0.0155552400,4
simd_mul,3001000,0.0021924590,4
seq_mul_reduce,3001000,0.0226414970,4
simd_mul_reduce,3001000,0.0015716040,4
seq_mul,3001000,0.0258374950,5
simd_mul,3001000,0.0038043730,5
seq_mul_reduce,3001000,0.0433876680,5
simd_mul_reduce,3001000,0.0029872260,5
seq_mul,3001000,0.0279135100,6
simd_mul,3001000,0.0037971950,6
seq_mul_reduce,3001000,0.0435156940,6
simd_mul_reduce,3001000,0.0029911690,6
seq_mul,3001000,0.0282919010,7
simd_mul,3001000,0.0038620720,7
seq_mul_reduce,3001000,0.0436945920,7
simd_mul_reduce,3001000,0.0029913060,7
seq_mul,3001000,0.0287506840,8
simd_mul,3001000,0.0040398660,8
seq_mul_reduce,3001000,0.0450514950,8
simd_mul_reduce,3001000,0.0030059460,8
seq_mul,3001000,0.0288251120,9
simd_mul,3001000,0.0038980580,9
seq_mul_reduce,3001000,0.0442218990,9
simd_mul_reduce,3001000,0.0030582570,9
seq_mul,4001000,0.0378431960,0
simd_mul,4001000,0.0053818480,0
seq_mul_reduce,4001000,0.0587457860,0
simd_mul_reduce,4001000,0.0039687020,0
seq_mul,4001000,0.0213044350,1
simd_mul,4001000,0.0036640680,1
seq_mul_reduce,4001000,0.0312604010,1
simd_mul_reduce,4001000,0.0021263340,1
seq_mul,4001000,0.0201370850,2
simd_mul,4001000,0.0030624210,2
seq_mul_reduce,4001000,0.0301936220,2
simd_mul_reduce,4001000,0.0021057620,2
seq_mul,4001000,0.0201310040,3
simd_mul,4001000,0.0030032090,3
seq_mul_reduce,4001000,0.0301488930,3
simd_mul_reduce,4001000,0.0021022830,3
seq_mul,4001000,0.0199549480,4
simd_mul,4001000,0.0030054660,4
seq_mul_reduce,4001000,0.0304571620,4
simd_mul_reduce,4001000,0.0021255250,4
seq_mul,4001000,0.0203618870,5
simd_mul,4001000,0.0030232340,5
seq_mul_reduce,4001000,0.0302851530,5
simd_mul_reduce,4001000,0.0021068460,5
seq_mul,4001000,0.0200358420,6
simd_mul,4001000,0.0030088350,6
seq_mul_reduce,4001000,0.0301752780,6
simd_mul_reduce,4001000,0.0021049170,6
seq_mul,4001000,0.0199509580,7
simd_mul,4001000,0.0029893680,7
seq_mul_reduce,4001000,0.0301656080,7
simd_mul_reduce,4001000,0.0021033890,7
seq_mul,4001000,0.0199146460,8
simd_mul,4001000,0.0033374350,8
seq_mul_reduce,4001000,0.0306533550,8
simd_mul_reduce,4001000,0.0021057020,8
seq_mul,4001000,0.0200723570,9
simd_mul,4001000,0.0030147010,9
seq_mul_reduce,4001000,0.0303670150,9
simd_mul_reduce,4001000,0.0021043210,9
seq_mul,5001000,0.0254056520,0
simd_mul,5001000,0.0038324760,0
seq_mul_reduce,5001000,0.0376879320,0
simd_mul_reduce,5001000,0.0026470710,0
seq_mul,5001000,0.0254815010,1
simd_mul,5001000,0.0037677670,1
seq_mul_reduce,5001000,0.0376880310,1
simd_mul_reduce,5001000,0.0026404580,1
seq_mul,5001000,0.0254601670,2
simd_mul,5001000,0.0037564210,2
seq_mul_reduce,5001000,0.0377759240,2
simd_mul_reduce,5001000,0.0026455620,2
seq_mul,5001000,0.0254950360,3
simd_mul,5001000,0.0037616040,3
seq_mul_reduce,5001000,0.0376924310,3
simd_mul_reduce,5001000,0.0026383970,3
seq_mul,5001000,0.0255571430,4
simd_mul,5001000,0.0037933110,4
seq_mul_reduce,5001000,0.0377960360,4
simd_mul_reduce,5001000,0.0026435500,4
seq_mul,5001000,0.0254713620,5
simd_mul,5001000,0.0037692970,5
seq_mul_reduce,5001000,0.0376917670,5
simd_mul_reduce,5001000,0.0026399050,5
seq_mul,5001000,0.0254545590,6
simd_mul,5001000,0.0037737440,6
seq_mul_reduce,5001000,0.0376988520,6
simd_mul_reduce,5001000,0.0026362750,6
seq_mul,5001000,0.0259699720,7
simd_mul,5001000,0.0046815040,7
seq_mul_reduce,5001000,0.0377570180,7
simd_mul_reduce,5001000,0.0026428830,7
seq_mul,5001000,0.0255856130,8
simd_mul,5001000,0.0044630250,8
seq_mul_reduce,5001000,0.0376911340,8
simd_mul_reduce,5001000,0.0026424050,8
seq_mul,5001000,0.0255973970,9
simd_mul,5001000,0.0044616960,9
seq_mul_reduce,5001000,0.0376910480,9
simd_mul_reduce,5001000,0.0026390630,9
seq_mul,6001000,0.0304380880,0
simd_mul,6001000,0.0058682590,0
seq_mul_reduce,6001000,0.0452226560,0
simd_mul_reduce,6001000,0.0031893350,0
seq_mul,6001000,0.0300653250,1
simd_mul,6001000,0.0054278580,1
seq_mul_reduce,6001000,0.0452449110,1
simd_mul_reduce,6001000,0.0031791740,1
seq_mul,6001000,0.0300403290,2
simd_mul,6001000,0.0054312750,2
seq_mul_reduce,6001000,0.0452738350,2
simd_mul_reduce,6001000,0.0031851270,2
seq_mul,6001000,0.0300777190,3
simd_mul,6001000,0.0054668030,3
seq_mul_reduce,6001000,0.0454437320,3
simd_mul_reduce,6001000,0.0031786090,3
seq_mul,6001000,0.0300748000,4
simd_mul,6001000,0.0054317870,4
seq_mul_reduce,6001000,0.0452737610,4
simd_mul_reduce,6001000,0.0031787900,4
seq_mul,6001000,0.0301069870,5
simd_mul,6001000,0.0055201500,5
seq_mul_reduce,6001000,0.0452549200,5
simd_mul_reduce,6001000,0.0031814210,5
seq_mul,6001000,0.0301241100,6
simd_mul,6001000,0.0055868340,6
seq_mul_reduce,6001000,0.0452497770,6
simd_mul_reduce,6001000,0.0031787150,6
seq_mul,6001000,0.0301446490,7
simd_mul,6001000,0.0054363530,7
seq_mul_reduce,6001000,0.0453022690,7
simd_mul_reduce,6001000,0.0031805770,7
seq_mul,6001000,0.0300957190,8
simd_mul,6001000,0.0049348410,8
seq_mul_reduce,6001000,0.0452774610,8
simd_mul_reduce,6001000,0.0031758980,8
seq_mul,6001000,0.0302256580,9
simd_mul,6001000,0.0049811450,9
seq_mul_reduce,6001000,0.0452734600,9
simd_mul_reduce,6001000,0.0031764250,9
seq_mul,7001000,0.0350141200,0
simd_mul,7001000,0.0059608030,0
seq_mul_reduce,7001000,0.0528122540,0
simd_mul_reduce,7001000,0.0037078660,0
seq_mul,7001000,0.0351010170,1
simd_mul,7001000,0.0056143670,1
seq_mul_reduce,7001000,0.0527908030,1
simd_mul_reduce,7001000,0.0037046230,1
seq_mul,7001000,0.0351037210,2
simd_mul,7001000,0.0056224530,2
seq_mul_reduce,7001000,0.0528047160,2
simd_mul_reduce,7001000,0.0037007120,2
seq_mul,7001000,0.0350777300,3
simd_mul,7001000,0.0053625490,3
seq_mul_reduce,7001000,0.0527928910,3
simd_mul_reduce,7001000,0.0037025350,3
seq_mul,7001000,0.0350649800,4
simd_mul,7001000,0.0053778840,4
seq_mul_reduce,7001000,0.0529663660,4
simd_mul_reduce,7001000,0.0037027360,4
seq_mul,7001000,0.0350811460,5
simd_mul,7001000,0.0052359380,5
seq_mul_reduce,7001000,0.0527888930,5
simd_mul_reduce,7001000,0.0037020150,5
seq_mul,7001000,0.0350739580,6
simd_mul,7001000,0.0052333500,6
seq_mul_reduce,7001000,0.0527974440,6
simd_mul_reduce,7001000,0.0037067780,6
seq_mul,7001000,0.0350759410,7
simd_mul,7001000,0.0052462970,7
seq_mul_reduce,7001000,0.0528272390,7
simd_mul_reduce,7001000,0.0037069660,7
seq_mul,7001000,0.0352875580,8
simd_mul,7001000,0.0052792960,8
seq_mul_reduce,7001000,0.0529482800,8
simd_mul_reduce,7001000,0.0037621290,8
seq_mul,7001000,0.0357822620,9
simd_mul,7001000,0.0054981720,9
seq_mul_reduce,7001000,0.0542929730,9
simd_mul_reduce,7001000,0.0038164270,9
seq_mul,8001000,0.0421400060,0
simd_mul,8001000,0.0082136000,0
seq_mul_reduce,8001000,0.0613549070,0
simd_mul_reduce,8001000,0.0043619690,0
seq_mul,8001000,0.0411037310,1
simd_mul,8001000,0.0074696320,1
seq_mul_reduce,8001000,0.0616613320,1
simd_mul_reduce,8001000,0.0043492590,1
seq_mul,8001000,0.0411025130,2
simd_mul,8001000,0.0076556310,2
seq_mul_reduce,8001000,0.0613789040,2
simd_mul_reduce,8001000,0.0042950690,2
seq_mul,8001000,0.0414623240,3
simd_mul,8001000,0.0087037620,3
