
 1048576, 256,      4096,     0.401 GigaMultsPerSecond
 1572864, 256,      6144,     0.214 GigaMultsPerSecond
 2097152, 256,      8192,     0.342 GigaMultsPerSecond
 2621440, 256,     10240,     0.018 GigaMultsPerSecond
 3145728, 256,     12288,     2.371 GigaMultsPerSecond
 3670016, 256,     14336,     0.521 GigaMultsPerSecond
 4194304, 256,     16384,     0.615 GigaMultsPerSecond
 4718592, 256,     18432,     3.479 GigaMultsPerSecond
 5242880, 256,     20480,     5.678 GigaMultsPerSecond
 5767168, 256,     22528,     2.079 GigaMultsPerSecond
 6291456, 256,     24576,     0.921 GigaMultsPerSecond
 6815744, 256,     26624,     4.179 GigaMultsPerSecond
 7340032, 256,     28672,     0.869 GigaMultsPerSecond
 7864320, 256,     30720,     6.063 GigaMultsPerSecond
 8388608, 256,     32768,     3.477 GigaMultsPerSecond
  524288, 512,      1024,     0.576 GigaMultsPerSecond
 1048576, 512,      2048,     0.008 GigaMultsPerSecond
 1572864, 512,      3072,     0.010 GigaMultsPerSecond
 2097152, 512,      4096,     0.092 GigaMultsPerSecond
 2621440, 512,      5120,     0.248 GigaMultsPerSecond
 3145728, 512,      6144,     0.162 GigaMultsPerSecond
 3670016, 512,      7168,     3.381 GigaMultsPerSecond
 4194304, 512,      8192,     4.676 GigaMultsPerSecond
 4718592, 512,      9216,     3.010 GigaMultsPerSecond
 5242880, 512,     10240,     2.941 GigaMultsPerSecond
 5767168, 512,     11264,     7.031 GigaMultsPerSecond
 6291456, 512,     12288,     0.266 GigaMultsPerSecond
 6815744, 512,     13312,     0.832 GigaMultsPerSecond
 7340032, 512,     14336,     6.102 GigaMultsPerSecond
 7864320, 512,     15360,     3.090 GigaMultsPerSecond
 8388608, 512,     16384,    10.520 GigaMultsPerSecond
  524288,1024,       512,     0.405 GigaMultsPerSecond
 1048576,1024,      1024,     0.061 GigaMultsPerSecond
 1572864,1024,      1536,     0.690 GigaMultsPerSecond
 2097152,1024,      2048,     0.331 GigaMultsPerSecond
 2621440,1024,      2560,     3.250 GigaMultsPerSecond
 3145728,1024,      3072,     3.402 GigaMultsPerSecond
 3670016,1024,      3584,     0.389 GigaMultsPerSecond
 4194304,1024,      4096,     5.451 GigaMultsPerSecond
 4718592,1024,      4608,     4.296 GigaMultsPerSecond
 5242880,1024,      5120,     0.437 GigaMultsPerSecond
 5767168,1024,      5632,     9.406 GigaMultsPerSecond
 6291456,1024,      6144,     1.941 GigaMultsPerSecond
 6815744,1024,      6656,     2.655 GigaMultsPerSecond
 7340032,1024,      7168,     0.545 GigaMultsPerSecond
 7864320,1024,      7680,     0.612 GigaMultsPerSecond
 8388608,1024,      8192,     0.676 GigaMultsPerSecond
