
  524288,   1,    524288,     0.555 GigaMultsPerSecond
 1048576,   1,   1048576,     0.154 GigaMultsPerSecond
 1572864,   1,   1572864,     0.227 GigaMultsPerSecond
 2097152,   1,   2097152,     2.732 GigaMultsPerSecond
 2621440,   1,   2621440,     0.020 GigaMultsPerSecond
 3145728,   1,   3145728,     1.320 GigaMultsPerSecond
 3670016,   1,   3670016,     4.562 GigaMultsPerSecond
 4194304,   1,   4194304,     0.316 GigaMultsPerSecond
 4718592,   1,   4718592,     3.818 GigaMultsPerSecond
 5242880,   1,   5242880,     6.504 GigaMultsPerSecond
 5767168,   1,   5767168,     8.672 GigaMultsPerSecond
 6291456,   1,   6291456,     0.998 GigaMultsPerSecond
 6815744,   1,   6815744,     2.807 GigaMultsPerSecond
 7340032,   1,   7340032,     3.802 GigaMultsPerSecond
 7864320,   1,   7864320,     7.098 GigaMultsPerSecond
 8388608,   1,   8388608,     3.090 GigaMultsPerSecond
  524288,   2,    262144,     0.103 GigaMultsPerSecond
 1048576,   2,    524288,     0.592 GigaMultsPerSecond
 1572864,   2,    786432,     0.223 GigaMultsPerSecond
 2097152,   2,   1048576,     0.179 GigaMultsPerSecond
 2621440,   2,   1310720,     0.358 GigaMultsPerSecond
 3145728,   2,   1572864,     0.251 GigaMultsPerSecond
 3670016,   2,   1835008,     0.096 GigaMultsPerSecond
 4194304,   2,   2097152,     0.265 GigaMultsPerSecond
 4718592,   2,   2359296,     0.190 GigaMultsPerSecond
 5242880,   2,   2621440,     0.037 GigaMultsPerSecond
 5767168,   2,   2883584,     0.040 GigaMultsPerSecond
 6291456,   2,   3145728,     3.336 GigaMultsPerSecond
 6815744,   2,   3407872,     0.048 GigaMultsPerSecond
 7340032,   2,   3670016,     2.898 GigaMultsPerSecond
 7864320,   2,   3932160,     0.638 GigaMultsPerSecond
 8388608,   2,   4194304,     0.537 GigaMultsPerSecond
  524288,   4,    131072,     0.172 GigaMultsPerSecond
 1048576,   4,    262144,     0.042 GigaMultsPerSecond
 1572864,   4,    393216,     0.205 GigaMultsPerSecond
 2097152,   4,    524288,     0.132 GigaMultsPerSecond
 2621440,   4,    655360,     0.422 GigaMultsPerSecond
 3145728,   4,    786432,     0.288 GigaMultsPerSecond
 3670016,   4,    917504,     0.189 GigaMultsPerSecond
 4194304,   4,   1048576,     0.268 GigaMultsPerSecond
 4718592,   4,   1179648,     0.288 GigaMultsPerSecond
 5242880,   4,   1310720,     0.325 GigaMultsPerSecond
 5767168,   4,   1441792,     0.470 GigaMultsPerSecond
 6291456,   4,   1572864,     0.415 GigaMultsPerSecond
 6815744,   4,   1703936,     0.488 GigaMultsPerSecond
 7340032,   4,   1835008,     5.347 GigaMultsPerSecond
 7864320,   4,   1966080,     2.818 GigaMultsPerSecond
 8388608,   4,   2097152,     4.002 GigaMultsPerSecond
  524288,   8,     65536,     0.159 GigaMultsPerSecond
 1048576,   8,    131072,     0.870 GigaMultsPerSecond
